dataset,rank,id,model,demo_audio,caption,key_tag,winner,loser,clap_caption,muq_caption,clap_pertag_mean,muq_pertag_mean,mqa_qwen3omni,mqa_af,mqa_mf,aqa_qwen3omni,aqa_af,aqa_mf
musiccaps,1,_yXtw_z2xf4,musicgen_large,audio/musiccaps/01__yXtw_z2xf4/musicgen_large.wav,This is a latin dance piece. There are two vocals taking turns singing the same line repeatedly. There is a keyboard and a trumpet playing the main melody. A fast-paced electronic percussion is playing in the rhythmic background. This is a dizzyingly high tempo song. It is very danceable. This piece can be played in latin nightclubs and latin dance courses.,vocal:vocal,meanaudio,stable_audio_3,0.4326,0.4452,0.2647,0.2575,0.6616,0.7712,0.6364,0.0141,0.9876,0.9466
musiccaps,1,_yXtw_z2xf4,stable_audio_3,audio/musiccaps/01__yXtw_z2xf4/stable_audio_3.wav,This is a latin dance piece. There are two vocals taking turns singing the same line repeatedly. There is a keyboard and a trumpet playing the main melody. A fast-paced electronic percussion is playing in the rhythmic background. This is a dizzyingly high tempo song. It is very danceable. This piece can be played in latin nightclubs and latin dance courses.,vocal:vocal,meanaudio,stable_audio_3,0.4324,0.5225,0.3279,0.2153,0.7099,0.7737,0.6329,0.0293,0.977,0.1645
musiccaps,1,_yXtw_z2xf4,meanaudio,audio/musiccaps/01__yXtw_z2xf4/meanaudio.wav,This is a latin dance piece. There are two vocals taking turns singing the same line repeatedly. There is a keyboard and a trumpet playing the main melody. A fast-paced electronic percussion is playing in the rhythmic background. This is a dizzyingly high tempo song. It is very danceable. This piece can be played in latin nightclubs and latin dance courses.,vocal:vocal,meanaudio,stable_audio_3,0.429,0.2169,0.1334,0.3239,0.8501,0.7759,0.8073,0.3208,0.1825,0.9669
musiccaps,1,_yXtw_z2xf4,acestep_1_5,audio/musiccaps/01__yXtw_z2xf4/acestep_1_5.wav,This is a latin dance piece. There are two vocals taking turns singing the same line repeatedly. There is a keyboard and a trumpet playing the main melody. A fast-paced electronic percussion is playing in the rhythmic background. This is a dizzyingly high tempo song. It is very danceable. This piece can be played in latin nightclubs and latin dance courses.,vocal:vocal,meanaudio,stable_audio_3,0.4287,0.3096,0.2943,0.2176,0.8035,0.6837,0.6107,0.0421,0.5624,0.4688
musiccaps,1,_yXtw_z2xf4,GT,audio/musiccaps/01__yXtw_z2xf4/GT.wav,This is a latin dance piece. There are two vocals taking turns singing the same line repeatedly. There is a keyboard and a trumpet playing the main melody. A fast-paced electronic percussion is playing in the rhythmic background. This is a dizzyingly high tempo song. It is very danceable. This piece can be played in latin nightclubs and latin dance courses.,vocal:vocal,meanaudio,stable_audio_3,0.2253,0.4671,0.1287,0.3923,0.8882,0.765,0.6922,0.9964,0.9924,0.9978
musiccaps,2,cOsm3r-xKEE,musicgen_large,audio/musiccaps/02_cOsm3r-xKEE/musicgen_large.wav,"The low quality recording features a reggae song that consists of a flat male vocal, alongside harmonizing background male vocals, singing over shimmering shakers, offbeat piano chords, brass melody, wide toms, tinny echoing snare and punchy kick layered with it. It sounds upbeat and easygoing.",vocal:male vocal,meanaudio,acestep_1_5,0.4168,0.4869,0.1342,0.0818,0.5233,0.601,0.5881,0.1645,0.9669,0.9627
musiccaps,2,cOsm3r-xKEE,stable_audio_3,audio/musiccaps/02_cOsm3r-xKEE/stable_audio_3.wav,"The low quality recording features a reggae song that consists of a flat male vocal, alongside harmonizing background male vocals, singing over shimmering shakers, offbeat piano chords, brass melody, wide toms, tinny echoing snare and punchy kick layered with it. It sounds upbeat and easygoing.",vocal:male vocal,meanaudio,acestep_1_5,0.4216,0.7306,0.3139,0.2837,0.8096,0.7176,0.5871,0.9954,0.9797,0.9707
musiccaps,2,cOsm3r-xKEE,meanaudio,audio/musiccaps/02_cOsm3r-xKEE/meanaudio.wav,"The low quality recording features a reggae song that consists of a flat male vocal, alongside harmonizing background male vocals, singing over shimmering shakers, offbeat piano chords, brass melody, wide toms, tinny echoing snare and punchy kick layered with it. It sounds upbeat and easygoing.",vocal:male vocal,meanaudio,acestep_1_5,0.4244,0.5911,0.1249,0.2329,0.7628,0.7606,0.8105,0.9983,0.989,0.9948
musiccaps,2,cOsm3r-xKEE,acestep_1_5,audio/musiccaps/02_cOsm3r-xKEE/acestep_1_5.wav,"The low quality recording features a reggae song that consists of a flat male vocal, alongside harmonizing background male vocals, singing over shimmering shakers, offbeat piano chords, brass melody, wide toms, tinny echoing snare and punchy kick layered with it. It sounds upbeat and easygoing.",vocal:male vocal,meanaudio,acestep_1_5,0.4194,0.2551,0.2538,0.0475,0.4895,0.4866,0.398,0.1824,0.8671,0.5927
musiccaps,2,cOsm3r-xKEE,GT,audio/musiccaps/02_cOsm3r-xKEE/GT.wav,"The low quality recording features a reggae song that consists of a flat male vocal, alongside harmonizing background male vocals, singing over shimmering shakers, offbeat piano chords, brass melody, wide toms, tinny echoing snare and punchy kick layered with it. It sounds upbeat and easygoing.",vocal:male vocal,meanaudio,acestep_1_5,0.3546,0.629,0.1307,0.2575,0.7984,0.8055,0.706,0.9987,0.9924,0.9859
musiccaps,3,D8-x1T8M4gk,musicgen_large,audio/musiccaps/03_D8-x1T8M4gk/musicgen_large.wav,This is a rock and roll piece used as an accompaniment for a dance. There is a male vocal singing at a low-to-medium pitch. The main melody is being played by an electric guitar while the bass guitar is repeating a bass line with a groovy pattern in the background. The acoustic drums are playing an upbeat 4/4 rock and roll beat. There is a raw feeling to it. The tune is catchy. This piece could be playing in the background of a sports bar or a rock bar. It could also work well at sports venues.,vocal:male vocal,meanaudio,stable_audio_3,0.3607,0.3841,0.2005,0.1532,0.8489,0.8409,0.8298,0.0293,0.9627,0.977
