rank,id,track_id,caption,clap_spread,key_tag,key_spread,winner,loser,af_delta,mf_delta,tradeoff,clap_musicgen_large,clap_stable_audio_3,clap_meanaudio,clap_acestep_1_5,mqa_qwen_musicgen_large,mqa_qwen_stable_audio_3,mqa_qwen_meanaudio,mqa_qwen_acestep_1_5
1,_yXtw_z2xf4,,This is a latin dance piece. There are two vocals taking turns singing the same line repeatedly. There is a keyboard and a trumpet playing the main melody. A fast-paced electronic percussion is playing in the rhythmic background. This is a dizzyingly high tempo song. It is very danceable. This piece can be played in latin nightclubs and latin dance courses.,0.0039,vocal:vocal,0.9450,meanaudio,stable_audio_3,0.7450,0.8711,1,0.4326,0.4324,0.4290,0.4287,0.6616,0.7099,0.8501,0.8035
2,cOsm3r-xKEE,,"The low quality recording features a reggae song that consists of a flat male vocal, alongside harmonizing background male vocals, singing over shimmering shakers, offbeat piano chords, brass melody, wide toms, tinny echoing snare and punchy kick layered with it. It sounds upbeat and easygoing.",0.0076,vocal:male vocal,0.9690,meanaudio,acestep_1_5,0.9265,0.9942,1,0.4168,0.4216,0.4244,0.4194,0.5233,0.8096,0.7628,0.4895
3,D8-x1T8M4gk,,This is a rock and roll piece used as an accompaniment for a dance. There is a male vocal singing at a low-to-medium pitch. The main melody is being played by an electric guitar while the bass guitar is repeating a bass line with a groovy pattern in the background. The acoustic drums are playing an upbeat 4/4 rock and roll beat. There is a raw feeling to it. The tune is catchy. This piece could be playing in the background of a sports bar or a rock bar. It could also work well at sports venues.,0.0102,vocal:male vocal,0.9890,meanaudio,stable_audio_3,0.9346,0.9819,1,0.3607,0.3700,0.3598,0.3602,0.8489,0.8791,0.9850,0.5695
4,bm5IT7e2vvI,,This is a Mexican folk music piece. The main theme is played by a marimba. There is a bass guitar in the background. The acoustic drums and the latin percussion provide the rhythmic background for the piece. It has a very playful atmosphere. The music could definitely be used in a children's movie/TV show or an advertisement targeted at kids.,0.0304,genre:folk music,0.9342,musicgen_large,acestep_1_5,0.3208,0.1826,1,0.4144,0.3840,0.3987,0.4072,0.7097,0.6334,0.6946,0.6059
5,-8cgbhIR_pw,,"The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",0.0315,vocal:male vocal,0.9965,stable_audio_3,meanaudio,0.9409,0.9940,1,0.2769,0.2576,0.2483,0.2454,0.7757,0.8484,0.7998,0.3306
6,l6LUPlmua6I,,This is a funk/disco music piece. There is a male vocalist singing melodically in the lead. The melody is being played by the keyboard with the backing of the electric guitar and the bass guitar. The rhythm is being played by the acoustic drums. The atmosphere is groovy. This piece could be played at a retro-themed party at a dance club.,0.0315,vocal:male vocal,0.9888,stable_audio_3,musicgen_large,0.7716,0.1039,1,0.3501,0.3611,0.3816,0.3730,0.7913,0.8616,0.9603,0.7266
7,UzDVZzIIcy8,,"The low quality recording features a wide sustained strings melody and natural sound effects in the background that consist of reverberant birds chirping and water flowing sound effects. It sounds calming, relaxing and emotional.",0.0319,mood_theme:calming,0.9042,meanaudio,stable_audio_3,0.2214,0.0934,1,0.3386,0.3437,0.3245,0.3118,0.9320,0.5728,0.8452,0.9948
8,y6iMm7Pltq0,,Someone is playing a simple repeating melody on a zitar along with a small harp. A flute is playing the same melody in the higher mid-range. A male voice is singing along. Someone is playing tabla. This song sounds calm and repetitive. This song may be playing live at a local performance place.,0.0337,mood_theme:calm,0.9873,musicgen_large,meanaudio,0.6725,0.6698,1,0.3343,0.3184,0.3382,0.3045,0.6569,0.6420,0.6306,0.5041
9,68XchGI6H-4,,"A male vocalist sings this spirited Latin song. The tempo is fast with a syncopated piano harmony, spanish guitar accompaniment ,Congas and bongos percussion, pandeira beats , keyboard harmony and vocal backup. The music is a lively, energetic, enthusiastic, passionate, spirited and vital Latin Pop with a dance groove.",0.0342,vocal:male vocal,0.9901,meanaudio,acestep_1_5,0.9533,0.9935,1,0.3623,0.3676,0.3464,0.3334,0.7265,0.8906,0.7587,0.6292
10,ihCl2ImrOYE,,"This music is instrumental. The tempo is slow with the resounding vibrations of the cello , flute or recorder melody with a female voice talking about Spinal treatment . The music is soft, soothing, meditative,hypnotic, calming, droning, recurring and insistent. This clip is a documentary or tutorial on spinal treatment superimposed on the instrumental.",0.0349,instrument:cello,0.9474,musicgen_large,meanaudio,0.1728,0.1272,1,0.3093,0.2941,0.3290,0.3284,0.9550,0.7590,0.7706,0.7603
11,RXk0lQJ7ttc,,The electronic dance music features a female voice singing a short melody after which the  song goes through a transition passage. After this a male voice can be heard singing a shorter melody. Throughout the music excerpt strings can be heard in the background as well as an electric guitar. The drums play a busy rhythm in the first half of the music passage. In the second half the synth bass kicks in.,0.0370,instrument:female vocal,0.9884,stable_audio_3,acestep_1_5,0.7199,0.8560,1,0.1553,0.1808,0.1923,0.1686,0.3954,0.7545,0.6832,0.2794
12,D7pjR9cQChM,,"The drums are playing a four on the floor techno rhythm with hihats and a strong kick. A synthetic bass follows the kick with almost just a single note playing. Panned to the left and right side of the speakers you can hear a monotone, repeating synth melody. This song may be playing in a technoclub.",0.0372,instrument:synth melody,0.9823,stable_audio_3,meanaudio,0.8721,0.9195,1,0.3295,0.3639,0.3526,0.3267,0.7930,0.8375,0.7671,0.8034
13,vKjC5HTH22o,,This is a Mexican folk music piece. There is a male vocal singing at a very elevated volume that resembles shouting. There is a brass melody playing alongside the vocal. The atmosphere of the piece is playful. The best use for this piece could be as an accompaniment for a folk dance. It could also be used in the soundtrack of a comedy movie or a TV show that takes place in Mexico.,0.0374,vocal:male vocal,0.9890,meanaudio,acestep_1_5,0.9081,0.8673,1,0.4117,0.4124,0.4167,0.4491,0.8304,0.8529,0.9352,0.6801
14,L9j9fCHHPeg,,"Full band playing a complex arrangement, possibly south asian or middle eastern. The music features odd meters and polyrhythmic full band melodies played by electric bass guitar, synthesizer, flute, and a female vocalist singing an eastern scale with female background harmonies. The drum ensemble is thunderous and fiery with percussion from finger cymbals and tambourine.",0.0382,instrument:flute,0.9617,meanaudio,musicgen_large,0.2813,0.0629,1,0.3041,0.3286,0.3161,0.2905,0.5117,0.8132,0.5327,0.7464
15,CRxIJ7YbcZA,,An acoustic drum is playing a simple groove with a strong kick. The e-bass is playing on every hit of the kick together with an e-guitar  strumming a chord. A female voice is singing a slow paced melody. In the background you can hear some maschine sounds and piping sounds. This song may be playing in a James Bond movie-scene.,0.0404,instrument:e-guitar,0.9700,meanaudio,acestep_1_5,-0.0626,0.9439,1,0.2743,0.3148,0.2757,0.3122,0.4900,0.4422,0.5978,0.4300
16,vZ9IanI59gE,,This folk song features a male voice singing the main melody. This is accompanied by a tabla and dhol playing the percussion. A keyboard plays fills after the voice pauses. The other instruments are not audible due to the low audio quality. This song can be played at a Hindu religious gathering.,0.0406,instrument:male vocal,0.9988,stable_audio_3,acestep_1_5,0.8991,0.9182,1,0.3542,0.3780,0.3374,0.3503,0.4773,0.7526,0.5441,0.1562
17,GcnLApOeCh0,,"The low quality recording features a reverberant background electro music that consists of claps, ""4 on the floor"" kick pattern and addictive violin melody. It is in mono and it sounds like it was recorded with a phone in a medium size room, as the music is playing through a speaker.",0.0410,instrument:kick,0.9569,musicgen_large,acestep_1_5,0.6560,0.5188,1,0.1567,0.1644,0.1749,0.1340,0.6059,0.7113,0.9131,0.1745
18,n3EeS2mVU5w,,Solo nylon string acoustic guitar played fingerstyle in a flamenco tradition. The guitar has lower bass notes than a regular 6 string guitar.,0.0442,instrument:nylon string acoustic guitar,0.9656,meanaudio,stable_audio_3,0.2977,0.9376,1,0.3486,0.3776,0.3778,0.3336,0.9756,0.1510,0.8522,0.7785
19,br4A2uNud50,,"This music is a lively instrumental. The tempo is fast with bright trumpet harmony of French horns, trumpets accompaniment and a steady, punchy bass drum rhythm. The music is upbeat, punchy, buoyant, spirited, lively and vivacious. The audio quality is an amateur recording. This music is a live performance with ambient sounds of people clapping and cheering .",0.0448,instrument:French horns,0.9551,meanaudio,acestep_1_5,0.2391,0.7912,1,0.1534,0.1734,0.1858,0.1410,0.9188,0.9601,0.9206,0.7957
20,QJzveo6IBsU,,"The low quality recording features an orchestra music that contains haunting sizzling bells melody, low wooden percussions, sustained strings melody and sustained brass melody. It sounds suspenseful and intense, as background music for movies would sound.",0.0448,mood_theme:intense,0.9671,stable_audio_3,acestep_1_5,0.4048,0.7755,1,0.2276,0.2725,0.2430,0.2385,0.8915,0.9912,0.6988,0.5727
21,eayGg2OlHOw,,"The low quality recording features a live performance of a mellow classical piano melody and sustained passionate violin melody playing together. It is very noisy and there are some crackling noises, widely spread in the background. Sounds passionate, emotional and it seems like it was recorded with one stereo pair of microphones.",0.0449,genre:classical,0.9690,stable_audio_3,acestep_1_5,0.1998,0.6890,1,0.2255,0.2410,0.1961,0.1965,0.8346,0.9933,0.7056,0.6890
22,Bgsy5UpXx8I,,"The low quality recording features a rock song that consists of flat male vocal singing over punchy snare, soft kick hits, repetitive organ keys chords, shimmering hi hats and groovy bass. It sounds messy, loud, muddy and chaotic, since the frequencies are clashing with each other due to a bad mix.",0.0455,instrument:male vocal,0.9980,stable_audio_3,musicgen_large,0.8648,0.9620,1,0.2402,0.2530,0.2075,0.2442,0.6185,0.8458,0.6845,0.2526
23,jFek2xLbEww,,"A male singer raises this passionate melody. The song is medium tempo with an acoustic guitar accompaniment, groovy bass line and a subtle drumming rhythm. The song is passionate and relaxing. The song is played live and has poor audio quality.",0.0468,vocal:male vocal,0.9949,meanaudio,musicgen_large,0.8731,0.9936,1,0.2431,0.2799,0.2331,0.2488,0.7139,0.7389,0.6896,0.4707
24,mixc4NV5IBE,,"This instrumental is an EDM. The tempo is fast with drum machine beats and electronically produced music and sounds.The audio quality is inferior, however the beat melody can be heard. The music is youthful, pulsating, enthusiastic, electric, repetitive, insistent,recurring,trippy , hypnotic, and psychedelic. The thumpy bass and punchy drum beats give it a high energy Dance vibe.",0.0471,mood_theme:hypnotic,0.9141,acestep_1_5,meanaudio,0.1300,0.1070,1,0.1911,0.2286,0.1815,0.2011,0.8742,0.8729,0.7787,0.9515
25,JOhK7oq9KtU,,"The low quality recording features a live performance of an indie song and it contains passionate female vocal singing over arpeggiated electric guitar melody and shimmering shakers. It is a bit noisy, there are some crowd noises and it sounds passionate, emotional and like an intro section of the song.",0.0472,vocal:female vocal,0.9844,stable_audio_3,musicgen_large,0.8919,0.9610,1,0.1724,0.2039,0.1988,0.1567,0.6824,0.7292,0.9842,0.5288
26,244y56-vLWE,,"A male singer sings this exciting Latin dance melody. The tempo is medium fast with a saxophone solo, percussive bass line, guitar accompaniment, latin percussion, steady drumming rhythm,  and cymbal crashes. The song is exciting with the crowds going crazy. The audio quality is poor.",0.0496,vocal:male vocal,0.9895,stable_audio_3,acestep_1_5,0.9296,0.9308,1,0.3954,0.3568,0.3639,0.3458,0.7706,0.9831,0.8272,0.5118
27,qrzNABqN420,,"The low quality recording features a rock song that consists of a passionate female vocal singing over punchy kick and snare hits, shimmering hi hats, wide electric guitar melody and groovy bass guitar. It sounds energetic and addictive in the first half of the loop, while in the second part it's mellow and softer.",0.0499,mood_theme:mellow,0.9985,acestep_1_5,meanaudio,0.9195,0.9600,1,0.3279,0.3524,0.3025,0.3045,0.6335,0.6870,0.4803,0.4245
28,HLz3N5nG8fQ,,An acoustic drum is playing a jazzy groove on the ride along with a bassline while an e-guitar is playing jazz chords with a lot of changes together with an acoustic piano rendering phrases with an uplifting melody. The singer's voice sounds low and romantic. This song may be playing while dancing with a partner.,0.0500,instrument:electric guitar,0.9694,stable_audio_3,acestep_1_5,0.7564,0.6221,1,0.3062,0.3498,0.3562,0.3354,0.6741,0.5671,0.7147,0.4875
29,iTWZsfVCyBs,,"The low quality recording features a breathy reverberant flute melody played over a low sustained piano bass note in the background. It sounds mystical, calming and relaxing.",0.0507,mood_theme:calming,0.9875,acestep_1_5,stable_audio_3,0.2947,0.3207,1,0.3472,0.3093,0.3457,0.3600,0.9658,0.3375,0.7536,0.7203
30,gffng5G4X4w,,"The low quality recording features an arpeggiated electric guitar melody. It sounds passionate, fun, happy and joyful. The recording is noisy and in mono.",0.0514,instrument:electric guitar,0.9818,meanaudio,acestep_1_5,0.6458,0.2341,1,0.2804,0.2644,0.3103,0.2589,0.4084,0.9660,0.6579,0.6092
31,lqeAf-DqE3I,,"The song is an instrumental. The song is medium tempo with steel pan playing melody, guitar strumming and steady percussion rhythm. The song is exciting and calming. The song is a live band performing tropical Caribbean tunes.",0.0515,mood_theme:calming,0.9901,acestep_1_5,meanaudio,0.8376,0.6416,1,0.2520,0.2478,0.2820,0.2993,0.8171,0.7646,0.8164,0.5184
32,XXBVsNt2Qr8,,"A female singer sings this passionate melody. The song is medium tempo with steady drumming rhythm, groovy bass line, Caribbean percussion, guitar accompaniment and a brass band playing percussively. The song is emotional and spirited. The song is a classic renege hit.",0.0519,vocal:female vocal,0.9920,meanaudio,acestep_1_5,0.8979,0.9902,1,0.3148,0.3626,0.3297,0.3107,0.5191,0.8453,0.6943,0.4476
33,7Vjp9y6wvkY,,"This song is a soothing instrumental. The tempo is slow with a melancholic violin harmony, banjo and resonator accompaniment, sound of chimes and a sharp tinkle. The music is soft, soothing, melancholic, serene, meditative, pensive and nostalgic. The music uses country style instrumentation.",0.0525,genre:country,0.9965,stable_audio_3,musicgen_large,0.9100,0.9975,1,0.3152,0.3367,0.3677,0.3219,0.6715,0.4280,0.6333,0.7333
34,e6lTl9JIW5Y,,"The low quality recording features a jazz performance that consists of saxophone solo melody played over shimmering cymbals, followed by trombone melody and walking double bass. It sounds warm, but dark, due to the poor quality microphone it was recorded with.",0.0529,instrument:trombone,0.9314,musicgen_large,stable_audio_3,0.7094,0.8889,1,0.4109,0.4447,0.3918,0.4164,0.6893,0.6613,0.7308,0.6193
35,0sPVAP17w2U,,This instrumental song features a Chinese fiddle. The song has an oriental feel. The fiddle is accompanied by a bass playing the root notes of the chords. Another medium pitched instrument plays chords in the background. Bells and chimes are played to add more melody to this song. There is no percussion in this song. There are no voices in this song. This song can be played in a meditation center.,0.0529,instrument:Chinese fiddle,0.9944,meanaudio,acestep_1_5,0.7606,-0.4292,1,0.3783,0.3454,0.3314,0.3843,0.7641,0.7418,0.6081,0.5490
36,p20KE0LhL68,,A digital drum is playing a techno groove with a half open hihat sound on the offbeat and a pregnant snare. A shaker and other little rhythmic elements are spicing up the drums. A simple digital bass is playing a melody while a very short voice sample comes in along with white noise rising. The elements are slightly panned across the speakers. This song may be playing in a techno club.,0.0532,genre:techno,0.9566,musicgen_large,acestep_1_5,0.3395,0.9173,1,0.3541,0.3644,0.3690,0.3158,0.7130,0.5636,0.6316,0.5593
37,Qj4r_MCC0mc,,"This is a regional Mexican song, in a contemporary style. The song feels romantic and relaxed. The singer has a charming voice and his voice sits atop guitar arpeggios and a simple bassline.",0.0539,vocal:male vocal,0.9960,meanaudio,acestep_1_5,0.9600,0.9936,1,0.3049,0.3391,0.3588,0.3278,0.7560,0.8703,0.9036,0.4466
38,338iZ76huSQ,,This new age song features a guitar solo being played. This is accompanied by a tabla on the percussion. The bass plays the root notes of the chord with no flourishes and embellishments. An angelic voice sings vocables in the background. The voice does not sing any lyrics. The mood of this song is relaxing. This song can be played in a meditation center.,0.0539,instrument:guitar,0.9943,stable_audio_3,meanaudio,0.8060,0.5607,1,0.3821,0.4095,0.3641,0.4181,0.7201,0.7382,0.4101,0.4658
39,-YATTKBtmRA,,This is a hip-hop music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud electronic drum beat. The piece is energetic and modern sounding. It could be used in the soundtrack of a sci-fi movie where there is a lot of action going on.,0.0544,context:action scene,0.9533,meanaudio,acestep_1_5,0.3583,0.8639,1,0.3221,0.3029,0.2677,0.3163,0.8807,0.7982,0.8742,0.6760
40,UGEqY_NTMpI,,This is a live performance of salsa music. The quality of the sound is very poor and muffled. The song features a male singer with a nasal voice. In the background latin percussion instruments play a salsa music rhythm. Trumpets are in the background and have a muffled sound.,0.0550,vocal:male vocal,0.9954,meanaudio,acestep_1_5,0.9155,0.9947,1,0.2510,0.3061,0.2709,0.2975,0.5028,0.8156,0.6003,0.6394
41,pSzTPGlNa5U,,This amateur recording features the main melody being played by a theremin. This is accompanied by a piano. There are no other instruments played in this clip. The mood of this song is relaxed. There are no voices in this song. This song can be played in a slow motion action scene in a superhero movie.,0.0552,mood_theme:relaxed,0.9321,acestep_1_5,stable_audio_3,0.1597,0.7679,1,0.2727,0.2570,0.3060,0.2507,0.8561,0.5109,0.9605,0.6500
