rank,id,track_id,caption,clap_spread,key_tag,key_spread,winner,loser,af_delta,mf_delta,tradeoff,clap_musicgen_large,clap_stable_audio_3,clap_meanaudio,clap_acestep_1_5,mqa_qwen_musicgen_large,mqa_qwen_stable_audio_3,mqa_qwen_meanaudio,mqa_qwen_acestep_1_5
1,56,357330,"The track seems to be a carribean-latino type beat - somewhat ressembling bachata. The isntruments are accordion, percussions - including bongos and other indigenous percussions. A man is singing langorously in spanish, and is joined by a backing vocal ensemble a bit later in the song. A nylon guitar is strumment syncopated rythms in the background.",0.0175,vocal:male vocal,0.9929,meanaudio,acestep_1_5,0.9529,0.9935,1,0.3297,0.3161,0.3122,0.3265,0.5892,0.5319,0.6945,0.4494
2,116,11841,"A peaceful yet emotionally charged instrumental track featuring a blend of calm, acoustic and electric guitars that overlap and intertwine to create a soothing, introspective soundscape that is perfect for relaxing and unwinding, or for providing a poignant, mellow background ambiance during a reflective moment.",0.0281,instrument:acoustic guitar,0.9509,meanaudio,stable_audio_3,0.1950,0.2223,1,0.4017,0.4256,0.3975,0.4091,0.9041,0.8829,0.9006,0.7927
3,528,976784,upbeat electronic music with occasional melody woah which keeps looping over and over,0.0454,mood_theme:upbeat,0.9451,musicgen_large,stable_audio_3,0.6796,0.8548,1,0.2395,0.1941,0.2052,0.1965,0.7269,0.6718,0.7422,0.9296
4,291,1151409,"A lullaby turned dark in its melody begins on a plucky kalimba of some kind; after an intro, a flute takes over the melody and a harp and other orchestral instruments back it up.",0.0502,instrument:flute,0.9029,meanaudio,acestep_1_5,0.8968,0.9602,1,0.3875,0.4363,0.4377,0.4137,0.7299,0.8590,0.7285,0.5250
5,592,1156053,"Genre seems to be Texas country music and I feel hopeful and felt like I'm in a farm
with waiting for the sunset with animals walking around",0.0616,mood_theme:calm,0.9704,acestep_1_5,meanaudio,0.7603,0.4281,1,0.1164,0.1371,0.1198,0.0755,0.6766,0.5492,0.7800,0.8141
6,1106,785425,"Very country-blusy fantastic guitar riffs, smooth & calm. Perfect mix of multiple guitars",0.0649,genre:country,0.9690,stable_audio_3,acestep_1_5,0.3622,0.9376,1,0.2763,0.3412,0.3163,0.3232,0.9841,0.8420,0.9447,0.5467
7,138,1089085,"Possibly a movie soundtrack, this instrumental piece has a dramatic tone, creates a slight suspense and a playful continuing",0.0679,mood_theme:playful,0.9981,acestep_1_5,meanaudio,0.7595,0.9227,1,0.2183,0.2017,0.1994,0.2673,0.9467,0.8047,0.7322,0.5132
8,591,1138697,"Genre seems to be spanish country music and I feel very relaxed and felt like I was
at a park jogging around in a peaceful manner.",0.0708,genre:country,0.9838,stable_audio_3,meanaudio,0.8790,0.8530,1,0.2730,0.2022,0.2638,0.2679,0.7578,0.8701,0.3848,0.7357
9,387,387516,"The song has a very happy and relaxing vibe. It is an alternative rock instrumental song, that has guitar drums and bass and pad synth. The songs sounds emotional and motivating",0.0718,genre:rock,0.9969,stable_audio_3,acestep_1_5,0.7760,0.8847,1,0.2398,0.3115,0.2497,0.2739,0.6598,0.7167,0.6860,0.7346
10,1060,1009672,This rock song has an indie rock genre but with a dancing  joyful vibe to it and licks / effects using synths along with whistle at the end,0.0771,genre:rock,0.9624,meanaudio,stable_audio_3,0.7445,0.6961,1,0.2462,0.3093,0.2496,0.3233,0.3717,0.6420,0.3024,0.7571
11,150,415605,"sounds quite groovy,  dark atmosphere but no violent, just minimalist.",0.0780,mood_theme:groovy,0.9219,acestep_1_5,stable_audio_3,-0.2129,0.4820,1,0.3208,0.2428,0.2930,0.2505,0.9636,0.6691,0.6689,0.7511
12,1029,172021,Contemporary hip-hop with a single male rapper and classical Indian instrumentation,0.0821,vocal:male vocal,0.9897,meanaudio,musicgen_large,0.8960,0.9911,1,0.2084,0.2265,0.1877,0.1444,0.3564,0.7831,0.6674,0.1920
13,212,457078,"The song starts with a sample of a can opener and goes to an acoustic guitar, has a bass guitar female vocals, mouth organ, guitar, and hi-hats. It is a chill song and can be considered as pop rock",0.0832,instrument:female vocal,0.9969,stable_audio_3,acestep_1_5,0.8702,0.9755,1,0.2194,0.2344,0.3026,0.2931,0.5386,0.5891,0.5055,0.2543
14,619,236348,Art rock song that features a woman repeating a phrase over and over again.,0.0839,genre:rock,0.9960,meanaudio,stable_audio_3,0.9081,0.9973,1,0.2026,0.2716,0.2745,0.1907,0.2668,0.4635,0.6003,0.0046
15,244,387501,The song starts with an acoustic guitar and then a electric guitar is added. It is an ambient rock song.,0.0863,instrument:electric guitar,0.9052,musicgen_large,stable_audio_3,0.6976,0.8889,1,0.2275,0.2461,0.1598,0.1725,0.8224,0.4223,0.4339,0.1671
16,901,1163322,"This is a calm swing music with drums, synth and trumpet responding to each other and makes you want to bounce.",0.0864,instrument:trumpet,0.9944,stable_audio_3,musicgen_large,0.8333,0.1800,1,0.3550,0.2995,0.3389,0.2686,0.5864,0.6747,0.5082,0.6416
17,65,1125375,"Birds chirping in the intro and outro, while during the main part, violins and playing a melancholic melody backed by acoustic guitar, evoking feelings of sadness but also hopefulness.",0.0870,mood_theme:sadness,0.9984,musicgen_large,stable_audio_3,0.7678,0.7687,1,0.3357,0.3876,0.3006,0.3084,0.4960,0.6074,0.6746,0.5155
18,40,1275424,"Neural pop, sub pop, subculture, dark, moody, emotional, sensual, ASMR, beautiful female vocals, strong bassline, electronic melody. Telephonic sub vocals and chorus lines. Sub bass lines very powerful.",0.0882,vocal:female vocal,0.9900,meanaudio,musicgen_large,0.9131,0.9916,1,0.2601,0.3322,0.2965,0.2440,0.4706,0.7750,0.8812,0.4109
19,451,1288067,"This is very Arabic/Turkish kind of music, there is a single string instrument that is plucked with a constant rhythmic drums, and it sounds mysterious",0.0421,instrument:drums,0.8980,meanaudio,acestep_1_5,0.6357,-0.0542,1,0.2974,0.3008,0.3395,0.2977,0.9576,0.7350,0.9700,0.1487
20,226,348881,Library music with bass and percussion instrument looping,0.0546,instrument:percussion,0.5597,acestep_1_5,meanaudio,0.7450,0.9447,1,0.2003,0.2386,0.1985,0.2531,0.9275,0.8888,0.6176,0.6454
21,101,73152,A strange electronically processed rock song captures your attention even though it sounds like a cheap tune at first.,0.0650,genre:rock,0.8503,stable_audio_3,acestep_1_5,0.4866,0.5860,1,0.2149,0.2160,0.2012,0.2662,0.3852,0.9041,0.6328,0.6417
22,714,537126,A ska song with all the usual suspects except for a slow and kind of melancholic intro.,0.0664,genre:ska,0.8611,stable_audio_3,acestep_1_5,0.1979,0.8651,1,0.2189,0.1879,0.1524,0.1706,0.0795,0.4338,0.0312,0.3286
23,938,1221997,Calming instrumental played on bass violin and flute that can be put in the background while doing some work or study,0.0734,instrument:bass violin,0.8411,acestep_1_5,stable_audio_3,0.5411,0.8649,1,0.3763,0.4460,0.4404,0.4497,0.6307,0.7546,0.7405,0.7825
24,210,5339,"An experimental ambient /rock song, with a weird ping-pong delay on a bassdrum. It has a lot of weird effects no vocals, synths and electronic elements",0.0438,genre:ambient,0.9723,musicgen_large,meanaudio,0.7573,0.9249,0,0.2851,0.3063,0.2875,0.3288,0.7589,0.6113,0.5826,0.5547
25,611,206596,Exciting and enthusiastic French love song sung by a male voice featuring a tambourine or a shaker during the refrain.,0.0472,vocal:male vocal,0.9812,stable_audio_3,musicgen_large,0.8767,0.8749,0,0.3553,0.3469,0.3371,0.3081,0.6581,0.7764,0.8292,0.5564
26,384,172021,A rap song with arabic rhythm and synth backing track.,0.0544,genre:rap,0.9809,meanaudio,acestep_1_5,0.9557,0.9793,0,0.2498,0.1954,0.2202,0.2396,0.9523,0.9568,0.9072,0.5076
27,468,111962,"French-language song with a jazzy, late-night vibe featuring a male duet.",0.0623,vocal:male duet,0.9523,meanaudio,stable_audio_3,0.4710,0.9132,0,0.2623,0.3029,0.2405,0.2692,0.7642,0.7999,0.9287,0.7978
28,140,1210715,"Upbeat commercial-sounding song with a simple drum rhythm, guitar chords and a simple but spacey-sounding synth melody",0.0729,instrument:synth,0.9233,stable_audio_3,musicgen_large,0.2681,0.6739,0,0.2959,0.3020,0.2630,0.3359,0.7616,0.9378,0.9331,0.9737
29,934,242384,"Slow melancholic song that one can sit and relax to, maybe even contemplate life even, which uses acoustic guitar and vocals for the most part",0.0759,vocal:vocal,0.9942,stable_audio_3,meanaudio,0.9301,0.9528,0,0.2162,0.2158,0.1741,0.1403,0.8000,0.9073,0.7907,0.6958
30,526,1124837,cheerful happy music played on a piano for relaxing,0.0820,mood_theme:happy,0.9924,acestep_1_5,stable_audio_3,0.8081,0.9025,0,0.3879,0.3966,0.3211,0.3147,0.9557,0.6035,0.6002,0.9625
31,643,1254634,This sentimental rock track features a clean electric guitar with heavy echoes and troubled male vocals.,0.0825,vocal:male vocal,0.9965,stable_audio_3,meanaudio,0.9206,0.7235,0,0.2720,0.2633,0.1895,0.2491,0.6956,0.9085,0.5741,0.3673
32,13,119345,"This instrumental piece has the qualities of Celtic folk songs, starting off with a harp-like instrument playing a repeating melody before drums come in",0.0526,genre:folk,0.8787,meanaudio,acestep_1_5,0.4767,0.1894,0,0.4048,0.4263,0.4279,0.3753,0.5906,0.6518,0.7058,0.4326
33,1027,33322,An instrumental song that has a bass similar all the song. It's like a loop music.,0.0636,instrument:bass,0.7978,stable_audio_3,meanaudio,0.8212,0.8140,0,0.3681,0.3474,0.3045,0.3279,0.9954,0.9996,0.2018,0.9890
34,173,457119,"Happy swinging cabaret jazz track with female vocals, piano, brass and bass.",0.0657,instrument:piano,0.7575,acestep_1_5,meanaudio,0.2440,-0.4245,0,0.2989,0.3007,0.3608,0.2951,0.8278,0.7811,0.7357,0.7946
35,1023,700223,A track with a piano intro that evolves to video game soundtrack.,0.0854,instrument:piano,0.7521,stable_audio_3,meanaudio,0.8442,0.9655,0,0.2541,0.3395,0.3243,0.2646,0.9443,0.9916,0.6205,0.9541
36,641,437793,An instrumental rock track that features bright drums and guitars where vocals are only used for giving a background ambience.,0.0867,genre:rock,0.7054,stable_audio_3,acestep_1_5,0.8359,0.9248,0,0.3115,0.3331,0.2526,0.2464,0.9963,0.9952,0.9995,0.7615
