rank,prompt_id,caption,id_A,id_B,system_A,system_B,audio_path_A,audio_path_B,mos_ta_A,mos_ta_B,mos_oq_A,mos_oq_B,clap_A,clap_B,aqa_A,aqa_B,mqa_mean_A,mqa_mean_B,key_tag,key_A,key_B,key_delta,opp_tag,opp_delta,af_key_delta,mf_key_delta,tradeoff,human_agree,rank_score
1,P058,This modern pop music piece features orchestral instruments with deep wind sounds and clear high notes from the strings. The song is performed with a contemporary and dynamic style.,audiomos2025-track1-S004_P058,audiomos2025-track1-S031_P058,S004,S031,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S004_P058.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S031_P058.wav,4.4,3.6,5.0,3.6,0.2385,0.2364,0.6225,0.6225,0.8008,0.6093,genre:pop,0.9985,0.0022,0.9963,instrument:wind instruments,-0.3120,0.8790,0.9737,1,1,1.7934
2,P060,"This tranquil pop music piece features flowing piano and violin accompaniment. The song is performed with a calming effect, creating a serene concert atmosphere.",audiomos2025-track1-S017_P060,audiomos2025-track1-S020_P060,S017,S020,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S017_P060.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S020_P060.wav,4.2,3.6,3.8,2.8,0.0302,-0.0134,0.0759,0.0331,0.6069,0.3915,genre:pop,0.9876,0.0076,0.9800,instrument:violin,-0.7854,0.5153,0.8269,1,1,1.7640
3,P099,"This a cappella piece contains double bass accompaniment, with male vocals delivering the main melody, suitable for studio recording.",audiomos2025-track1-S008_P099,audiomos2025-track1-S003_P099,S008,S003,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S008_P099.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S003_P099.wav,2.8,2.2,2.6,3.8,0.1427,0.1135,0.0067,0.0009,0.7997,0.5019,instrument:double bass,0.9770,0.0097,0.9673,vocal:male vocal,-0.3717,0.5254,0.4647,1,1,1.7412
4,P034,"This simple and upbeat saxophone piece features smooth, consistent playing with minimal pitch variation. The song is performed with a light and airy feel, perfect for easy listening.",audiomos2025-track1-S008_P034,audiomos2025-track1-S004_P034,S008,S004,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S008_P034.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S004_P034.wav,4.6,4.8,3.6,4.4,0.3873,0.3827,0.0534,0.0260,0.6745,0.3397,mood_theme:upbeat,0.9933,0.0076,0.9857,mood_theme:easy listening,-0.9660,0.7401,0.7036,1,0,1.4786
5,P021,"The low quality recording features a live performance of a classical song and it contains trombone melody playing over shimmering hi hats and sustained strings. It sounds muffled, but also passionate and emotional.",audiomos2025-track1-S033_P021,audiomos2025-track1-S013_P021,S033,S013,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S033_P021.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S013_P021.wav,4.8,4.0,4.4,3.6,0.0770,0.1055,0.0013,0.0052,0.4641,0.4840,genre:classical,0.9669,0.0001,0.9668,instrument:hi hats,-0.9394,0.9611,0.9626,1,0,1.4502
6,P017,"The song is an instrumental. The song is medium tempo with a sitar playing solo, tabla playing percussively and other Indian percussion instruments. The song is emotional and poignant. The audio quality is very ordinary.",audiomos2025-track1-S002_P017,audiomos2025-track1-S013_P017,S002,S013,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S002_P017.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S013_P017.wav,4.0,3.8,4.6,3.4,0.0259,-0.0291,0.0002,0.0059,0.3989,0.3752,mood_theme:poignant,0.9820,0.2018,0.7802,instrument:Indian percussion instruments,-0.4311,-0.1202,0.2773,1,1,1.4043
7,P026,"This vibrant children's percussion ensemble features tambourines, sleigh bells, and castanets. The song is performed with a playful and lively mood, ideal for youthful audiences.",audiomos2025-track1-S016_P026,audiomos2025-track1-S001_P026,S016,S001,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S016_P026.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S001_P026.wav,3.6,4.2,4.0,4.4,0.0844,0.0934,0.0036,0.0025,0.5170,0.5099,instrument:sleigh bells,0.9669,0.0331,0.9338,mood_theme:lively,-0.8867,0.6873,0.8483,1,0,1.4007
8,P058,This modern pop music piece features orchestral instruments with deep wind sounds and clear high notes from the strings. The song is performed with a contemporary and dynamic style.,audiomos2025-track1-S010_P058,audiomos2025-track1-S009_P058,S010,S009,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S010_P058.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S009_P058.wav,3.6,4.8,4.0,4.4,0.1029,0.1562,0.9841,0.9399,0.8345,0.7304,genre:pop,0.9707,0.0474,0.9233,instrument:wind instruments,-0.7014,0.5723,-0.0063,1,0,1.3849
9,P045,"This melodious ocarina solo features a soothing background, often accompanied by other instruments. The song is performed with a harmonious and tranquil quality.",audiomos2025-track1-S022_P045,audiomos2025-track1-S003_P045,S022,S003,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S022_P045.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S003_P045.wav,2.2,3.4,2.6,4.4,0.1655,0.1796,0.9627,0.9241,0.8606,0.5536,mood_theme:tranquil,0.9876,0.1330,0.8546,instrument:background,-0.3519,0.0102,0.1417,1,0,1.2819
10,P015,"The music features a quiet, deep-toned cello segment, perfect for peaceful nighttime listening.",audiomos2025-track1-S030_P015,audiomos2025-track1-S008_P015,S030,S008,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S030_P015.wav,/home/lonian/MCB/MusicEval/MusicEval/MusicEval-full/wav/audiomos2025-track1-S008_P015.wav,3.8,2.0,3.6,2.4,0.3266,0.3075,0.9740,0.9325,0.9256,0.6357,mood_theme:peaceful,0.9997,0.0041,0.9957,instrument:cello,-0.1274,-0.0865,0.8066,0,1,1.1948
